Player,Team,Year,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
N Pooran ,SRH,2022,14,14,9,8,1,3 (2ct 1st),0.642
SP Jackson ,KKR,2022,5,5,7,5,2,4 (3ct 1st),1.4
MS Wade ,GT,2022,10,5,7,6,1,3 (3ct 0st),1.4
SW Billings ,KKR,2022,8,6,7,6,1,3 (2ct 1st),1.166
JM Bairstow ,PBKS,2022,11,1,1,1,0,1 (1ct 0st),1
B Indrajith ,KKR,2022,3,3,1,1,0,1 (1ct 0st),0.333
PBB Rajapaksa ,PBKS,2022,9,2,0,0,0,0,0
Ishan Kishan ,MI,2023,16,15,13,10,3,2 (2ct 0st),0.866
WP Saha ,GT,2023,17,17,11,9,2,3 (3ct 0st),0.647
Rahmanullah Gurbaz ,KKR,2023,11,10,10,10,0,4 (4ct 0st),1
KD Karthik ,RCB,2023,13,12,10,8,2,3 (2ct 1st),0.833
MS Dhoni ,CSK,2023,16,16,10,7,3,2 (2ct 0st),0.625
N Pooran ,LSG,2023,15,10,8,5,3,2 (1ct 1st),0.8
SV Samson ,RR,2023,14,14,6,3,3,2 (1ct 1st),0.428
PD Salt ,DC,2023,9,9,5,5,0,2 (2ct 0st),0.555
JM Sharma ,PBKS,2023,14,14,5,3,2,2 (0ct 2st),0.357
Abishek Porel ,DC,2023,4,4,4,4,0,2 (2ct 0st),1
H Klaasen ,SRH,2023,12,12,4,3,1,1 (1ct 0st),0.333
Q de Kock ,LSG,2023,4,4,3,2,1,3 (2ct 1st),0.75
SN Khan ,DC,2023,4,1,2,2,0,2 (2ct 0st),2
Anmolpreet Singh ,SRH,2023,4,1,1,1,0,1 (1ct 0st),1
Anuj Rawat ,RCB,2023,9,2,1,1,0,1 (1ct 0st),0.5
Litton Das ,KKR,2023,1,1,0,0,0,0,0
GD Phillips ,SRH,2023,5,1,0,0,0,0,0
Vishnu Vinod ,MI,2023,3,1,0,0,0,0,0
N Jagadeesan ,KKR,2023,6,3,0,0,0,0,0
KL Rahul ,LSG,2024,14,12,16,14,2,3 (3ct 0st),1.333
RR Pant ,DC,2024,13,13,16,11,5,4 (2ct 2st),1.23
PD Salt ,KKR,2024,12,12,12,12,0,3 (3ct 0st),1
JM Sharma ,PBKS,2024,14,12,12,12,0,3 (3ct 0st),1
MS Dhoni ,CSK,2024,14,14,10,10,0,2 (2ct 0st),0.714
H Klaasen ,SRH,2024,16,16,10,8,2,2 (2ct 0st),0.625
Ishan Kishan ,MI,2024,14,14,9,9,0,2 (2ct 0st),0.642
WP Saha ,GT,2024,9,9,7,5,2,3 (1ct 2st),0.777
SV Samson ,RR,2024,16,15,7,6,1,2 (2ct 0st),0.466
Rahmanullah Gurbaz ,KKR,2024,3,2,5,5,0,3 (3ct 0st),2.5
Anuj Rawat ,RCB,2024,5,4,5,5,0,4 (4ct 0st),1.25
KD Karthik ,RCB,2024,15,11,5,4,1,2 (1ct 1st),0.454
Abishek Porel ,DC,2024,14,1,2,2,0,2 (2ct 0st),2
BR Sharath ,GT,2024,1,1,1,1,0,1 (1ct 0st),1
JM Bairstow ,PBKS,2024,11,2,1,1,0,1 (1ct 0st),0.5
Q de Kock ,LSG,2024,11,2,1,1,0,1 (1ct 0st),0.5
MS Wade ,GT,2024,2,2,1,1,0,1 (1ct 0st),0.5
JM Sharma ,RCB,2025,11,11,15,14,1,4 (4ct 0st),1.363
RD Rickelton ,MI,2025,12,12,13,10,3,2 (2ct 0st),1.083
MS Dhoni ,CSK,2025,12,12,10,5,5,2 (1ct 1st),0.833
JC Buttler ,GT,2025,11,11,8,6,2,2 (2ct 0st),0.727
JP Inglis ,PBKS,2025,7,6,6,5,1,2 (2ct 0st),1
H Klaasen ,SRH,2025,11,10,6,6,0,2 (2ct 0st),0.6
RR Pant ,LSG,2025,11,11,5,4,1,2 (2ct 0st),0.454
Ishan Kishan ,SRH,2025,11,1,4,4,0,4 (4ct 0st),4
DC Jurel ,RR,2025,12,8,4,4,0,1 (1ct 0st),0.5
SV Samson ,RR,2025,7,4,3,2,1,3 (2ct 1st),0.75
Q de Kock ,KKR,2025,7,7,3,3,0,1 (1ct 0st),0.428
KL Rahul ,DC,2025,11,8,3,3,0,2 (2ct 0st),0.375
Prabhsimran Singh ,PBKS,2025,12,5,2,1,1,1 (1ct 0st),0.4
Rahmanullah Gurbaz ,KKR,2025,5,5,2,2,0,1 (1ct 0st),0.4
Abishek Porel ,DC,2025,12,3,1,1,0,1 (1ct 0st),0.333
