Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
SRH,LSG,LSG,12,runs,DY Patil,04/04/22,Twenty20
CSK,PBKS,PBKS,54,runs,Brabourne,03/04/22,Twenty20
GT,DC,GT,14,runs,Pune,02/04/22,Twenty20
MI,RR,RR,23,runs,DY Patil,02/04/22,Twenty20
KKR,PBKS,KKR,6,wickets,Wankhede,01/04/22,Twenty20
LSG,CSK,LSG,6,wickets,Brabourne,31/03/22,Twenty20
RCB,KKR,RCB,3,wickets,DY Patil,30/03/22,Twenty20
SRH,RR,RR,61,runs,Pune,29/03/22,Twenty20
GT,LSG,GT,5,wickets,Wankhede,28/03/22,Twenty20
PBKS,RCB,PBKS,5,wickets,DY Patil,27/03/22,Twenty20
DC,MI,DC,4,wickets,Brabourne,27/03/22,Twenty20
CSK,KKR,KKR,6,wickets,Wankhede,26/03/22,Twenty20
GT,CSK,CSK,5,wickets,Ahmedabad,29/05/23,Twenty20
GT,MI,GT,62,runs,Ahmedabad,26/05/23,Twenty20
LSG,MI,MI,81,runs,Chennai,24/05/23,Twenty20
CSK,GT,CSK,15,runs,Chennai,23/05/23,Twenty20
RCB,GT,GT,6,wickets,Bengaluru,21/05/23,Twenty20
MI,SRH,MI,8,wickets,Wankhede,21/05/23,Twenty20
KKR,LSG,LSG,1,run,Eden Gardens,20/05/23,Twenty20
DC,CSK,CSK,77,runs,Delhi,20/05/23,Twenty20
PBKS,RR,RR,4,wickets,Dharamsala,19/05/23,Twenty20
SRH,RCB,RCB,8,wickets,Hyderabad,18/05/23,Twenty20
PBKS,DC,DC,15,runs,Dharamsala,17/05/23,Twenty20
LSG,MI,LSG,5,runs,Lucknow,16/05/23,Twenty20
GT,SRH,GT,34,runs,Ahmedabad,15/05/23,Twenty20
CSK,KKR,KKR,6,wickets,Chennai,14/05/23,Twenty20
RR,RCB,RCB,112,runs,Jaipur,14/05/23,Twenty20
DC,PBKS,PBKS,31,runs,Delhi,13/05/23,Twenty20
SRH,LSG,LSG,7,wickets,Hyderabad,13/05/23,Twenty20
MI,GT,MI,27,runs,Wankhede,12/05/23,Twenty20
KKR,RR,RR,9,wickets,Eden Gardens,11/05/23,Twenty20
CSK,DC,CSK,27,runs,Chennai,10/05/23,Twenty20
MI,RCB,MI,6,wickets,Wankhede,09/05/23,Twenty20
KKR,PBKS,KKR,5,wickets,Eden Gardens,08/05/23,Twenty20
RR,SRH,SRH,4,wickets,Jaipur,07/05/23,Twenty20
GT,LSG,GT,56,runs,Ahmedabad,07/05/23,Twenty20
DC,RCB,DC,7,wickets,Delhi,06/05/23,Twenty20
CSK,MI,CSK,6,wickets,Chennai,06/05/23,Twenty20
RR,GT,GT,9,wickets,Jaipur,05/05/23,Twenty20
SRH,KKR,KKR,5,runs,Hyderabad,04/05/23,Twenty20
PBKS,MI,MI,6,wickets,Mohali,03/05/23,Twenty20
LSG,CSK,no result,-,,Lucknow,03/05/23,Twenty20
GT,DC,DC,5,runs,Ahmedabad,02/05/23,Twenty20
LSG,RCB,RCB,18,runs,Lucknow,01/05/23,Twenty20
MI,RR,MI,6,wickets,Wankhede,30/04/23,Twenty20
CSK,PBKS,PBKS,4,wickets,Chennai,30/04/23,Twenty20
DC,SRH,SRH,9,runs,Delhi,29/04/23,Twenty20
KKR,GT,GT,7,wickets,Eden Gardens,29/04/23,Twenty20
PBKS,LSG,LSG,56,runs,Mohali,28/04/23,Twenty20
RR,CSK,RR,32,runs,Jaipur,27/04/23,Twenty20
RCB,KKR,KKR,21,runs,Bengaluru,26/04/23,Twenty20
GT,MI,GT,55,runs,Ahmedabad,25/04/23,Twenty20
SRH,DC,DC,7,runs,Hyderabad,24/04/23,Twenty20
KKR,CSK,CSK,49,runs,Eden Gardens,23/04/23,Twenty20
RCB,RR,RCB,7,runs,Bengaluru,23/04/23,Twenty20
MI,PBKS,PBKS,13,runs,Wankhede,22/04/23,Twenty20
LSG,GT,GT,7,runs,Lucknow,22/04/23,Twenty20
CSK,SRH,CSK,7,wickets,Chennai,21/04/23,Twenty20
DC,KKR,DC,4,wickets,Delhi,20/04/23,Twenty20
PBKS,RCB,RCB,24,runs,Mohali,20/04/23,Twenty20
RR,LSG,LSG,10,runs,Jaipur,19/04/23,Twenty20
SRH,MI,MI,14,runs,Hyderabad,18/04/23,Twenty20
RCB,CSK,CSK,8,runs,Bengaluru,17/04/23,Twenty20
GT,RR,RR,3,wickets,Ahmedabad,16/04/23,Twenty20
MI,KKR,MI,5,wickets,Wankhede,16/04/23,Twenty20
LSG,PBKS,PBKS,2,wickets,Lucknow,15/04/23,Twenty20
RCB,DC,RCB,23,runs,Bengaluru,15/04/23,Twenty20
KKR,SRH,SRH,23,runs,Eden Gardens,14/04/23,Twenty20
PBKS,GT,GT,6,wickets,Mohali,13/04/23,Twenty20
CSK,RR,RR,3,runs,Chennai,12/04/23,Twenty20
DC,MI,MI,6,wickets,Delhi,11/04/23,Twenty20
RCB,LSG,LSG,1,wicket,Bengaluru,10/04/23,Twenty20
SRH,PBKS,SRH,8,wickets,Hyderabad,09/04/23,Twenty20
GT,KKR,KKR,3,wickets,Ahmedabad,09/04/23,Twenty20
MI,CSK,CSK,7,wickets,Wankhede,08/04/23,Twenty20
RR,DC,RR,57,runs,Guwahati,08/04/23,Twenty20
LSG,SRH,LSG,5,wickets,Lucknow,07/04/23,Twenty20
KKR,RCB,KKR,81,runs,Eden Gardens,06/04/23,Twenty20
RR,PBKS,PBKS,5,runs,Guwahati,05/04/23,Twenty20
DC,GT,GT,6,wickets,Delhi,04/04/23,Twenty20
CSK,LSG,CSK,12,runs,Chennai,03/04/23,Twenty20
RCB,MI,RCB,8,wickets,Bengaluru,02/04/23,Twenty20
SRH,RR,RR,72,runs,Hyderabad,02/04/23,Twenty20
LSG,DC,LSG,50,runs,Lucknow,01/04/23,Twenty20
PBKS,KKR,PBKS,7,runs,Mohali,01/04/23,Twenty20
GT,CSK,GT,5,wickets,Ahmedabad,31/03/23,Twenty20
KKR,SRH,KKR,8,wickets,Chennai,26/05/24,Twenty20
RR,SRH,SRH,36,runs,Chennai,24/05/24,Twenty20
RR,RCB,RR,4,wickets,Ahmedabad,22/05/24,Twenty20
KKR,SRH,KKR,8,wickets,Ahmedabad,21/05/24,Twenty20
RR,KKR,no result,-,,Guwahati,19/05/24,Twenty20
SRH,PBKS,SRH,4,wickets,Hyderabad,19/05/24,Twenty20
RCB,CSK,RCB,27,runs,Bengaluru,18/05/24,Twenty20
MI,LSG,LSG,18,runs,Wankhede,17/05/24,Twenty20
RR,PBKS,PBKS,5,wickets,Guwahati,15/05/24,Twenty20
DC,LSG,DC,19,runs,Delhi,14/05/24,Twenty20
RCB,DC,RCB,47,runs,Bengaluru,12/05/24,Twenty20
CSK,RR,CSK,5,wickets,Chennai,12/05/24,Twenty20
KKR,MI,KKR,18,runs,Eden Gardens,11/05/24,Twenty20
GT,CSK,GT,35,runs,Ahmedabad,10/05/24,Twenty20
PBKS,RCB,RCB,60,runs,Dharamsala,09/05/24,Twenty20
SRH,LSG,SRH,10,wickets,Hyderabad,08/05/24,Twenty20
DC,RR,DC,20,runs,Delhi,07/05/24,Twenty20
MI,SRH,MI,7,wickets,Wankhede,06/05/24,Twenty20
LSG,KKR,KKR,98,runs,Lucknow,05/05/24,Twenty20
PBKS,CSK,CSK,28,runs,Dharamsala,05/05/24,Twenty20
RCB,GT,RCB,4,wickets,Bengaluru,04/05/24,Twenty20
MI,KKR,KKR,24,runs,Wankhede,03/05/24,Twenty20
SRH,RR,SRH,1,run,Hyderabad,02/05/24,Twenty20
CSK,PBKS,PBKS,7,wickets,Chennai,01/05/24,Twenty20
LSG,MI,LSG,4,wickets,Lucknow,30/04/24,Twenty20
KKR,DC,KKR,7,wickets,Eden Gardens,29/04/24,Twenty20
CSK,SRH,CSK,78,runs,Chennai,28/04/24,Twenty20
GT,RCB,RCB,9,wickets,Ahmedabad,28/04/24,Twenty20
LSG,RR,RR,7,wickets,Lucknow,27/04/24,Twenty20
DC,MI,DC,10,runs,Delhi,27/04/24,Twenty20
KKR,PBKS,PBKS,8,wickets,Eden Gardens,26/04/24,Twenty20
SRH,RCB,RCB,35,runs,Hyderabad,25/04/24,Twenty20
DC,GT,DC,4,runs,Delhi,24/04/24,Twenty20
CSK,LSG,LSG,6,wickets,Chennai,23/04/24,Twenty20
RR,MI,RR,9,wickets,Jaipur,22/04/24,Twenty20
PBKS,GT,GT,3,wickets,Mullanpur,21/04/24,Twenty20
KKR,RCB,KKR,1,run,Eden Gardens,21/04/24,Twenty20
DC,SRH,SRH,67,runs,Delhi,20/04/24,Twenty20
LSG,CSK,LSG,8,wickets,Lucknow,19/04/24,Twenty20
PBKS,MI,MI,9,runs,Mullanpur,18/04/24,Twenty20
GT,DC,DC,6,wickets,Ahmedabad,17/04/24,Twenty20
KKR,RR,RR,2,wickets,Eden Gardens,16/04/24,Twenty20
RCB,SRH,SRH,25,runs,Bengaluru,15/04/24,Twenty20
MI,CSK,CSK,20,runs,Wankhede,14/04/24,Twenty20
KKR,LSG,KKR,8,wickets,Eden Gardens,14/04/24,Twenty20
PBKS,RR,RR,3,wickets,Mullanpur,13/04/24,Twenty20
LSG,DC,DC,6,wickets,Lucknow,12/04/24,Twenty20
MI,RCB,MI,7,wickets,Wankhede,11/04/24,Twenty20
RR,GT,GT,3,wickets,Jaipur,10/04/24,Twenty20
PBKS,SRH,SRH,2,runs,Mullanpur,09/04/24,Twenty20
CSK,KKR,CSK,7,wickets,Chennai,08/04/24,Twenty20
LSG,GT,LSG,33,runs,Lucknow,07/04/24,Twenty20
MI,DC,MI,29,runs,Wankhede,07/04/24,Twenty20
RR,RCB,RR,6,wickets,Jaipur,06/04/24,Twenty20
SRH,CSK,SRH,6,wickets,Hyderabad,05/04/24,Twenty20
GT,PBKS,PBKS,3,wickets,Ahmedabad,04/04/24,Twenty20
DC,KKR,KKR,106,runs,Visakhapatnam,03/04/24,Twenty20
RCB,LSG,LSG,28,runs,Bengaluru,02/04/24,Twenty20
