Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
PP Shaw, S Dhawan,138,out,1st,DC,CSK,Wankhede,10/04/2021,Twenty20
PP Shaw, S Dhawan,132,out,1st,DC,KKR,Ahmedabad,29/04/2021,Twenty20
RD Gaikwad, F du Plessis,129,out,1st,CSK,SRH,Delhi,28/04/2021,Twenty20
KL Rahul, MA Agarwal,122,out,1st,PBKS,DC,Wankhede,18/04/2021,Twenty20
KL Rahul, MA Agarwal,120,out,1st,PBKS,RR,Dubai (DICS),21/09/2021,Twenty20
RD Gaikwad, F du Plessis,115,out,1st,CSK,KKR,Wankhede,21/04/2021,Twenty20
GJ Maxwell, KS Bharat,111,not out,4th,RCB,DC,Dubai (DICS),08/10/2021,Twenty20
D Padikkal, V Kohli,111,out,1st,RCB,CSK,Sharjah,24/09/2021,Twenty20
RV Uthappa, RD Gaikwad,110,out,2nd,CSK,DC,Dubai (DICS),10/10/2021,Twenty20
F du Plessis, MM Ali,108,out,2nd,CSK,MI,Delhi,01/05/2021,Twenty20
DA Warner, MK Pandey,106,out,2nd,SRH,CSK,Delhi,28/04/2021,Twenty20
KL Rahul, DJ Hooda,105,out,3rd,PBKS,RR,Wankhede,12/04/2021,Twenty20
AT Rayudu, RA Jadeja,102,not out,5th,CSK,MI,Delhi,01/05/2021,Twenty20
Shubman Gill, VR Iyer,96,out,1st,KKR,DC,Sharjah,13/10/2021,Twenty20
RA Tripathi, N Rana,93,out,2nd,KKR,SRH,Chennai,11/04/2021,Twenty20
MK Pandey, JM Bairstow,92,out,3rd,SRH,KKR,Chennai,11/04/2021,Twenty20
KL Rahul, MA Agarwal,91,out,1st,PBKS,RCB,Sharjah,03/10/2021,Twenty20
Shubman Gill, VR Iyer,91,out,1st,KKR,CSK,Dubai (DICS),15/10/2021,Twenty20
KA Pollard, KH Pandya,89,out,4th,MI,CSK,Delhi,01/05/2021,Twenty20
SV Samson, S Dube,89,out,3rd,RR,CSK,Abu Dhabi,02/10/2021,Twenty20
RA Tripathi, VR Iyer,88,out,2nd,KKR,MI,Abu Dhabi,23/09/2021,Twenty20
PP Shaw, S Dhawan,88,out,1st,DC,RCB,Dubai (DICS),08/10/2021,Twenty20
D Padikkal, GJ Maxwell,86,out,3rd,RCB,KKR,Chennai,18/04/2021,Twenty20
SV Samson, MK Lomror,84,out,4th,RR,SRH,Dubai (DICS),27/09/2021,Twenty20
