Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
Shubman Gill, JC Buttler,74,out,2nd,GT,RR,Jaipur,28/04/2025,Twenty20
N Wadhera, SS Iyer,73,out,3rd,PBKS,SRH,Hyderabad,12/04/2025,Twenty20
K Nitish Kumar Reddy, Ishan Kishan,72,out,3rd,SRH,RR,Hyderabad,23/03/2025,Twenty20
Prabhsimran Singh, SS Iyer,72,out,2nd,PBKS,CSK,Chennai,30/04/2025,Twenty20
Shubman Gill, JC Buttler,72,out,2nd,GT,MI,Wankhede,06/05/2025,Twenty20
N Pooran, MR Marsh,71,out,2nd,LSG,KKR,Eden Gardens,08/04/2025,Twenty20
AM Rahane, VR Iyer,71,out,3rd,KKR,LSG,Eden Gardens,08/04/2025,Twenty20
Shashank Singh, P Arya,71,out,6th,PBKS,CSK,Mullanpur,08/04/2025,Twenty20
SA Yadav, WG Jacks,71,out,3rd,MI,GT,Wankhede,06/05/2025,Twenty20
SA Yadav, Naman Dhir,69,out,3rd,MI,LSG,Lucknow,04/04/2025,Twenty20
JM Sharma, RM Patidar,69,out,5th,RCB,MI,Wankhede,07/04/2025,Twenty20
KL Rahul, Abishek Porel,69,out,2nd,DC,LSG,Lucknow,22/04/2025,Twenty20
N Wadhera, SS Iyer,67,not out,3rd,PBKS,LSG,Lucknow,01/04/2025,Twenty20
R Ravindra, RD Gaikwad,67,out,2nd,CSK,MI,Chennai,23/03/2025,Twenty20
S Dube, D Brevis,67,out,6th,CSK,KKR,Eden Gardens,07/05/2025,Twenty20
SA Yadav, NT Tilak Varma,66,out,4th,MI,LSG,Lucknow,04/04/2025,Twenty20
Prabhsimran Singh, P Arya,66,out,1st,PBKS,SRH,Hyderabad,12/04/2025,Twenty20
T Stubbs, AR Sharma,66,out,7th,DC,SRH,Hyderabad,05/05/2025,Twenty20
Shashank Singh, M Jansen,65,not out,7th,PBKS,CSK,Mullanpur,08/04/2025,Twenty20
RR Pant, AK Markram,65,out,1st,LSG,GT,Lucknow,12/04/2025,Twenty20
RG Sharma, WG Jacks,64,out,2nd,MI,SRH,Hyderabad,23/04/2025,Twenty20
SE Rutherford, JC Buttler,63,not out,3rd,GT,RCB,Bengaluru,02/04/2025,Twenty20
KL Rahul, Abishek Porel,63,out,3rd,DC,RR,Delhi,16/04/2025,Twenty20
RG Sharma, RD Rickelton,63,out,1st,MI,CSK,Wankhede,20/04/2025,Twenty20
SA Yadav, NT Tilak Varma,62,out,3rd,MI,GT,Ahmedabad,29/03/2025,Twenty20
M Shahrukh Khan, B Sai Sudharsan,62,out,3rd,GT,RR,Ahmedabad,09/04/2025,Twenty20
NT Tilak Varma, Naman Dhir,62,out,5th,MI,DC,Delhi,13/04/2025,Twenty20
R Parag, YBK Jaiswal,62,out,3rd,RR,LSG,Jaipur,19/04/2025,Twenty20
Shubman Gill, JC Buttler,62,out,2nd,GT,SRH,Ahmedabad,02/05/2025,Twenty20
SV Samson, YBK Jaiswal,61,not out,1st,RR,DC,Delhi,16/04/2025,Twenty20
Shubman Gill, B Sai Sudharsan,61,out,1st,GT,PBKS,Ahmedabad,25/03/2025,Twenty20
K Nitish Kumar Reddy, TM Head,61,out,3rd,SRH,LSG,Hyderabad,27/03/2025,Twenty20
R Ravindra, DP Conway,61,out,1st,CSK,PBKS,Mullanpur,08/04/2025,Twenty20
PD Salt, V Kohli,61,out,1st,RCB,DC,Bengaluru,10/04/2025,Twenty20
PD Salt, V Kohli,61,out,1st,RCB,RR,Bengaluru,24/04/2025,Twenty20
RK Singh, A Raghuvanshi,61,out,5th,KKR,DC,Delhi,29/04/2025,Twenty20
AD Russell, A Raghuvanshi,61,out,4th,KKR,RR,Eden Gardens,04/05/2025,Twenty20
SA Yadav, NT Tilak Varma,60,out,3rd,MI,DC,Delhi,13/04/2025,Twenty20
B Sai Sudharsan, JC Buttler,60,out,2nd,GT,DC,Ahmedabad,19/04/2025,Twenty20
TM Head, Abhishek Sharma,59,out,1st,SRH,MI,Wankhede,17/04/2025,Twenty20
N Pooran, AK Markram,58,out,2nd,LSG,GT,Lucknow,12/04/2025,Twenty20
