Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
PW Hasaranga ,RCB,2023,8,8,174,29,-,258,9,Feb-24,28.66,8.89,19.33,-,-
PW Hasaranga ,RR,2025,9,9,204,34,-,311,10,Apr-35,31.1,9.14,20.4,1,-
R Ashwin ,DC,2020,15,15,306,51,-,391,13,Mar-29,30.07,7.66,23.53,-,-
R Ashwin ,DC,2021,13,13,268,44.4,-,331,7,Feb-27,47.28,7.41,38.28,-,-
R Ashwin ,RR,2022,17,17,402,67,-,503,12,Mar-17,41.91,7.5,33.5,-,-
R Ashwin ,RR,2023,13,13,294,49,-,368,14,Feb-23,26.28,7.51,21,-,-
R Ashwin ,RR,2024,15,14,330,55,-,467,9,Mar-24,51.88,8.49,36.66,-,-
R Ashwin ,CSK,2025,8,8,162,27,-,242,5,Feb-48,48.4,8.96,32.4,-,-
R Dhawan ,PBKS,2022,6,6,114,19,-,156,6,Feb-36,26,8.21,19,-,-
R Parag ,RR,2021,11,6,37,6.1,-,73,1,01-Jul,73,11.83,37,-,-
R Parag ,RR,2022,17,4,24,4,-,59,1,01-Dec,59,14.75,24,-,-
R Parag ,RR,2025,12,7,90,15,-,118,2,01-Dec,59,7.86,45,-,-
R Powell ,DC,2023,3,1,12,2,-,18,1,Jan-18,18,9,12,-,-
R Sai Kishore ,GT,2022,5,5,96,16,-,121,6,02-Jul,20.16,7.56,16,-,-
R Sai Kishore ,GT,2024,5,5,90,15,-,137,7,Apr-33,19.57,9.13,12.85,1,-
R Sai Kishore ,GT,2025,11,11,177,29.3,-,247,14,Mar-30,17.64,8.37,12.64,-,-
R Shepherd ,SRH,2022,3,3,54,9,-,98,3,Feb-42,32.66,10.88,18,-,-
R Shepherd ,RCB,2025,4,3,24,4,-,51,1,Jan-18,51,12.75,24,-,-
R Tewatia ,RR,2020,14,14,276,46,-,326,10,Mar-25,32.6,7.08,27.6,-,-
R Tewatia ,RR,2021,14,13,222,37,-,340,8,Mar-39,42.5,9.18,27.75,-,-
RA Jadeja ,CSK,2020,14,13,218,36.2,-,318,6,Feb-42,53,8.75,36.33,-,-
RA Jadeja ,CSK,2021,16,16,294,49,1,346,13,Mar-13,26.61,7.06,22.61,-,-
RA Jadeja ,CSK,2022,10,10,198,33,-,248,5,Mar-39,49.6,7.51,39.6,-,-
RA Jadeja ,CSK,2023,16,16,342,57,-,431,20,Mar-20,21.55,7.56,17.1,-,-
RA Jadeja ,CSK,2024,14,14,282,47,-,369,8,Mar-18,46.12,7.85,35.25,-,-
RA Jadeja ,CSK,2025,12,12,197,32.5,-,280,8,Feb-24,35,8.52,24.62,-,-
Ramandeep Singh ,MI,2022,5,3,36,6,-,54,6,Mar-20,9,9,6,-,-
