Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
VG Arora ,KKR,2023,5,5,96,16,-,146,5,Feb-30,29.2,9.12,19.2,-,-
VG Arora ,KKR,2024,10,10,180,30,-,276,11,Mar-27,25.09,9.2,16.36,-,-
VG Arora ,KKR,2025,11,11,231,38.3,1,391,16,Mar-29,24.43,10.15,14.43,-,-
VR Aaron ,GT,2022,2,2,30,5,-,52,2,Feb-45,26,10.4,15,-,-
VR Iyer ,KKR,2021,10,4,51,8.3,-,69,3,Feb-29,23,8.11,17,-,-
Washington Sundar ,RCB,2020,15,15,300,50,1,298,8,Feb-16,37.25,5.96,37.5,-,-
Washington Sundar ,RCB,2021,6,6,96,16,-,118,3,01-Jul,39.33,7.37,32,-,-
Washington Sundar ,SRH,2022,9,8,168,28,-,239,6,Feb-21,39.83,8.53,28,-,-
Washington Sundar ,SRH,2023,7,7,106,17.4,-,146,3,Mar-28,48.66,8.26,35.33,-,-
Washington Sundar ,SRH,2024,2,2,30,5,-,73,1,Jan-46,73,14.6,30,-,-
Washington Sundar ,GT,2025,5,4,59,9.5,-,104,2,Jan-28,52,10.57,29.5,-,-
WD Parnell ,RCB,2023,7,7,151,25.1,-,236,9,03-Oct,26.22,9.37,16.77,-,-
WG Jacks ,RCB,2024,8,5,54,9,-,100,2,Jan-23,50,11.11,27,-,-
WG Jacks ,MI,2025,11,6,72,12,-,93,5,Feb-14,18.6,7.75,14.4,-,-
XC Bartlett ,PBKS,2025,3,3,54,9,-,84,2,Jan-26,42,9.33,27,-,-
Yash Dayal ,GT,2022,9,9,192,32,-,296,11,Mar-40,26.9,9.25,17.45,-,-
Yash Dayal ,GT,2023,5,5,84,14,-,165,2,Jan-31,82.5,11.78,42,-,-
Yash Dayal ,RCB,2024,14,14,301,50.1,-,459,15,Mar-20,30.6,9.14,20.06,-,-
Yash Dayal ,RCB,2025,11,11,216,36,-,346,10,Feb-18,34.6,9.61,21.6,-,-
Yash Thakur ,LSG,2023,9,9,191,31.5,-,289,13,Apr-37,22.23,9.07,14.69,1,-
Yash Thakur ,LSG,2024,10,10,213,35.3,1,402,11,May-30,36.54,11.32,19.36,-,1
Yash Thakur ,PBKS,2025,2,2,39,6.3,-,79,1,Jan-39,79,12.15,39,-,-
YS Chahal ,RCB,2020,15,15,343,57.1,-,405,21,Mar-18,19.28,7.08,16.33,-,-
YS Chahal ,RCB,2021,15,15,318,53,1,374,18,03-Nov,20.77,7.05,17.66,-,-
YS Chahal ,RR,2022,17,17,408,68,-,527,27,May-40,19.51,7.75,15.11,1,1
YS Chahal ,RR,2023,14,14,317,52.5,-,432,21,Apr-17,20.57,8.17,15.09,3,-
YS Chahal ,RR,2024,15,15,348,58,-,546,18,03-Nov,30.33,9.41,19.33,-,-
YS Chahal ,PBKS,2025,12,10,198,33,-,324,14,Apr-28,23.14,9.81,14.14,2,-
Yudhvir Singh ,LSG,2023,3,3,48,8,-,70,3,Feb-19,23.33,8.75,16,-,-
Yudhvir Singh ,LSG,2024,2,2,24,4,-,52,1,Jan-24,52,13,24,-,-
Yudhvir Singh ,RR,2025,3,3,42,7,-,84,1,Jan-26,84,12,42,-,-
Zeeshan Ansari ,SRH,2025,9,9,191,31.5,-,311,6,Mar-42,51.83,9.76,31.83,-,-
