Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
Sumit Kumar ,DC,2024,4,3,1,18,9,not out,9,24,75,0,0,0,2,1
Suryansh Shedge ,PBKS,2025,5,3,0,7,4,out,2.33,11,63.63,0,0,0,0,0
SV Samson ,RR,2020,14,14,1,375,85,out,28.84,236,158.89,0,3,2,21,26
SV Samson ,RR,2021,14,14,2,484,119,out,40.33,354,136.72,1,2,0,45,17
SV Samson ,RR,2022,17,17,1,458,55,out,28.62,312,146.79,0,2,0,43,26
SV Samson ,RR,2023,14,14,2,362,66,not out,30.16,236,153.38,0,3,2,25,24
SV Samson ,RR,2024,16,15,4,531,86,out,48.27,346,153.46,0,5,1,48,24
SV Samson ,RR,2025,7,7,1,224,66,out,37.33,156,143.58,0,1,0,23,10
SW Billings ,KKR,2022,8,8,1,169,36,out,24.14,138,122.46,0,0,0,9,10
Swapnil Singh ,RCB,2024,7,5,3,37,15,not out,18.5,21,176.19,0,0,1,3,3
T Banton ,KKR,2020,2,2,0,18,10,out,9,20,90,0,0,0,1,1
T Kohler0Cadmore ,RR,2024,4,3,0,48,20,out,16,54,88.88,0,0,0,7,1
T Natarajan ,SRH,2020,16,3,3,3,3,not out,0,5,60,0,0,0,0,0
T Natarajan ,SRH,2021,2,1,1,0,0,not out,0,0,0,0,0,0,0,0
T Shamsi ,RR,2021,1,1,1,2,2,not out,0,4,50,0,0,0,0,0
T Stubbs ,DC,2024,14,13,6,378,71,not out,54,198,190.9,0,3,1,24,26
T Stubbs ,DC,2025,12,10,5,259,41,not out,51.8,171,151.46,0,0,0,23,9
T Stubbs ,MI,2023,2,2,0,25,20,out,12.5,31,80.64,0,0,0,2,0
TA Boult ,MI,2020,15,1,0,0,0,out,0,1,0,0,0,1,0,0
TA Boult ,MI,2021,14,4,4,1,1,not out,0,4,25,0,0,0,0,0
TA Boult ,MI,2025,12,2,1,2,1,not out,2,3,66.66,0,0,0,0,0
TA Boult ,RR,2022,16,8,6,40,17,not out,20,29,137.93,0,0,0,2,1
TA Boult ,RR,2023,10,4,3,16,15,out,16,14,114.28,0,0,0,1,1
TA Boult ,RR,2024,16,5,3,14,12,out,7,16,87.5,0,0,1,2,0
TG Southee ,KKR,2021,3,1,0,3,3,out,3,5,60,0,0,0,0,0
TH David ,MI,2022,8,8,3,186,46,out,37.2,86,216.27,0,0,0,12,16
TH David ,MI,2023,16,15,6,231,45,not out,25.66,146,158.21,0,0,2,12,15
TH David ,MI,2024,13,11,3,241,45,not out,30.12,152,158.55,0,0,1,14,15
TH David ,RCB,2021,1,1,0,1,1,out,1,3,33.33,0,0,0,0,0
TH David ,RCB,2025,11,8,6,186,50,not out,93,96,193.75,0,1,0,16,14
TK Curran ,DC,2021,3,2,1,21,21,out,21,17,123.52,0,0,0,2,0
TK Curran ,RR,2020,5,4,3,83,54,not out,83,62,133.87,0,1,0,5,3
TK Kotian ,RR,2024,1,1,0,24,24,out,24,31,77.41,0,0,0,3,0
TL Seifert ,DC,2022,2,2,0,24,21,out,12,19,126.31,0,0,0,4,0
TL Seifert ,KKR,2021,1,1,0,2,2,out,2,4,50,0,0,0,0,0
TM Head ,SRH,2024,15,15,1,567,102,out,40.5,296,191.55,1,4,3,64,32
TM Head ,SRH,2025,11,10,0,281,67,out,28.1,180,156.11,0,2,1,41,9
TU Deshpande ,DC,2020,5,2,1,21,20,not out,21,12,175,0,0,0,2,1
TU Deshpande ,RR,2025,8,4,3,7,3,out,7,8,87.5,0,0,0,0,0
UM Patel ,CSK,2025,1,1,0,31,31,out,31,11,281.81,0,0,0,1,4
Umran Malik ,SRH,2022,14,4,3,4,3,not out,4,8,50,0,0,1,0,0
Umran Malik ,SRH,2023,8,2,1,19,19,not out,19,8,237.5,0,0,1,1,2
UT Yadav ,GT,2024,7,2,1,12,10,not out,12,15,80,0,0,0,0,1
UT Yadav ,KKR,2022,12,7,3,55,21,out,13.75,40,137.5,0,0,2,4,4
UT Yadav ,KKR,2023,8,5,3,19,6,not out,9.5,18,105.55,0,0,0,1,0
UT Yadav ,RCB,2020,2,1,0,0,0,out,0,2,0,0,0,1,0,0
V Kohli ,RCB,2020,15,15,4,466,90,not out,42.36,384,121.35,0,3,0,23,11
V Kohli ,RCB,2021,15,15,1,405,72,not out,28.92,339,119.46,0,3,0,43,9
V Kohli ,RCB,2022,16,16,1,341,73,out,22.73,294,115.98,0,2,3,32,8
V Kohli ,RCB,2023,14,14,2,639,101,not out,53.25,457,139.82,2,6,1,65,16
V Kohli ,RCB,2024,15,15,3,741,113,not out,61.75,479,154.69,1,5,0,62,38
V Kohli ,RCB,2025,11,11,3,505,73,not out,63.12,352,143.46,0,7,0,44,18
V Nigam ,DC,2025,11,7,1,122,39,out,20.33,68,179.41,0,0,1,12,7
V Shankar ,CSK,2025,6,5,2,118,69,not out,39.33,91,129.67,0,1,0,8,3
V Shankar ,GT,2022,4,4,0,19,13,out,4.75,35,54.28,0,0,1,1,0
V Shankar ,GT,2023,14,10,2,301,63,not out,37.62,188,160.1,0,3,0,27,15
V Shankar ,GT,2024,7,7,2,83,17,out,16.6,72,115.27,0,0,0,7,2
V Shankar ,SRH,2020,7,5,1,97,52,not out,24.25,96,101.04,0,1,1,10,1
V Shankar ,SRH,2021,7,5,0,58,28,out,11.6,52,111.53,0,0,0,1,3
V Suryavanshi ,RR,2025,5,5,0,155,101,out,31,74,209.45,1,0,1,10,16
V Viyaskanth ,SRH,2024,3,1,1,7,7,not out,0,5,140,0,0,0,0,0
V Vyshak ,RCB,2023,7,2,1,13,13,not out,13,9,144.44,0,0,1,0,1
VG Arora ,KKR,2023,5,2,2,3,2,not out,0,2,150,0,0,0,0,0
VG Arora ,KKR,2025,11,1,0,0,0,out,0,7,0,0,0,1,0,0
VG Arora ,PBKS,2022,5,4,2,5,2,not out,2.5,13,38.46,0,0,1,0,0
Virat Singh ,SRH,2021,3,2,0,15,11,out,7.5,26,57.69,0,0,0,1,0
Vishnu Vinod ,MI,2023,3,3,0,37,30,out,12.33,31,119.35,0,0,0,2,2
Vivrant Sharma ,SRH,2023,3,1,0,69,69,out,69,47,146.8,0,1,0,9,2
VR Aaron ,RR,2020,3,2,1,1,1,out,1,10,10,0,0,0,0,0
VR Iyer ,KKR,2021,10,10,1,370,67,out,41.11,288,128.47,0,4,0,37,14
VR Iyer ,KKR,2022,12,12,1,182,50,not out,16.54,169,107.69,0,1,1,17,7
VR Iyer ,KKR,2023,14,14,0,404,104,out,28.85,277,145.84,1,2,1,32,21
VR Iyer ,KKR,2024,15,13,5,370,70,out,46.25,233,158.79,0,4,0,35,19
VR Iyer ,KKR,2025,11,7,0,142,60,out,20.28,102,139.21,0,1,0,15,4
Washington Sundar ,GT,2025,5,4,0,85,49,out,21.25,56,151.78,0,0,0,5,4
Washington Sundar ,RCB,2020,15,9,3,111,30,out,18.5,95,116.84,0,0,0,10,2
Washington Sundar ,RCB,2021,6,4,0,31,10,out,7.75,47,65.95,0,0,0,2,0
Washington Sundar ,SRH,2022,9,7,0,101,40,out,14.42,69,146.37,0,0,0,9,3
